English,Ekegusii,Domain,dup_target,encoding_ok
Ministry issues drought adaptation tips for sustainable water use.,Eminisituri nigo ekorwaogosemia igoro yogwekomereria ekero kieguragura na yogotumia amache buya.,Agriculture,True,True
US Embassy issued advisory warning of heightened crime and terror risks and urged caution.,Obobalosi bwa America (US Embassy) aiga Kenya yarwete ogosemia kwogokurera igoro yobosareku bwaigoro mono nokonyarekana kwobokebago na gosaba koba maiso.,Security,False,True
"Women have a bigger role to play, have market access like men in agricultural wealth...(2020). To access agriculture markets and differences in feeds in Kenya.","abangina ngokora bare ase ensemo yoboremi, mbabwati ogosoa oboremi buna abasacha ase obonda bwoboremi. ... (2020), Gosoa echiro yoboremi na oborgeria ase oboagare aiga Kenya: ...",Agriculture,True,True
"such as e‑commerce, agri‑digital financial services, smart farming and other tools in production, ... A shift towards digital agriculture and mechanization may ...","Ayio buna oboonia, achibesa chiboremi goetera egedichitari, oboremi obuya nayande ebikoreri bioboremi nerigesa, ... Goonchoreria gochia oboremi bwegedichitari na obokoreri nabo ...",Agriculture,True,True
Disable browser password-saving features to protect accounts if your device is stolen.,Tobaise gwanchera ekombiuta okogachere ringangana riao riobobisi koyeigora erio korenda amagnana ase ekonbiuta eise koibwa gose gosira.,Security,False,True
Free fire safety training is available for communities to prevent and respond to fire outbreaks.,Amasomo abosa igoro yokwerenda ekero kiomorero nareo ase ebinyoro gotanga nagokonya chingaki omorero ogwateka.,Security,False,True
Mothers and their young children are required to visit their health facilities to be tested 48 hours after delivery for medical care.,Abang'ina amo n'abana abake bagwenerete kogenda oborengi nyagitari chinsa 48 koru okoibora banyare korengwa erio korigia bobe bonde bwonsi na korotota okobwena kwa bwango.,Health,True,True
Integrate music education 2022.,Renta amo chisemi chiechingero 2022.,Education,False,True
Reliable data systems track violence trends and service use to inform evidence-based policies and programs.,"Amangana aria arikire amaikeranu buna chiripoti chiabasikari, chianyagitari na NGOs chikworokia buna abanto bagokorerwa bobe erio gokonya korosia amachiko nemeroberio yokobakonya.",Security,False,True
There is no health without mental health,Borwaria tiboiyo one oborwaria bw'obongo tiboiyo,Health,False,True
"To achieve mental health for those living with disabilites is of great importance. Now, do you know any person who needs counselling? Send an SMS to ""support"" to 20767 so that you can connect with a counsellor free of charge.","Goikerania amag'ana yobobwenia ase abanto babwate oborema nokw'engencho mono. Inee, nomanyete monto onde oganetie oyo agokwanera? Toma riuko erienge ""support"" gochia 20767 erio onyore omosemia.",Health,False,True
Building partnerships with counties strengthens accountability. Say no to graft.,Koagacha oboamate obuya gati yechikaonti nigo kogokong'ia obotenereri obuya. Kana obokengeka.,Security,False,True
"Proper feed storage prevents aflatoxin contamination. Keep grains dry, mold-free, and securely stored.",Kogacha endagrera buya nigo egokonya ogotabosa kwendagera.,Security,False,True
"If you have information, #ReachDCI through hotline number 0800 722 203. Let's work together to uphold justice and accountability. #FichuaGaitho","Onye kore nering'ana, #Moikera omotuki omonene goetera enamba ya morero 0800 722 203. Tiga tokore emeremo amo gosegeta ekeene nobotenereri obuya. #Bisora Gaitho",Security,False,True
Statistics for Agricultural market access and dietary diversity in Kenya: Gender considerations towards improved household nutritional outcomes ...,Amangana arikire igoro yechiro yoboremi na oborageria obuya ase oboagare aiga Kenya: Korigeria buna ogotarengana gati mokungu nomasacha igoro yoborageria buya ase oboagare na ayarorekanire...,Agriculture,True,True
"No entry without uniform and ID from January 6, 2025.","Gosoa tikoiyo onye tobwati eyunifomu nekebande korwa chitariki 6 chiomotienyi 1, omwaka 2025.",Education,False,True
Large gatherings increase theft risks. Supervise herds and coordinate with security agencies.,Omoganda omonenenbwabanto nigo okongusa abaibi. Renda etugo yao buya na bwaterana nabarendi boborendi.,Security,False,True
Cyclone Hidaya alert issued urging coastal residents to prepare for strong winds and floods.,Ogokurerwa igoro ya yomorindo omonene okorokwa Hidaya kwarwetwe gosorora abanto bamenyete ang'e na nyancha ukwearigania ase emerindo emene netoigo.,Security,False,True
Discover appropriate times when you can supply milk from your dairy farm or eggs to (schools and hospitals) depending on their feeding program.,Rigia komanya chinagaki chingiya chireo as ase oboremi bwao bwechiombe chia'amabere giose ebiombe bibwatekaine nayio ase okoonia amagena echingoko chiao bwango kegima gochia (chisukuru na chuinyagitari ) ase omoroberio bwoborageria bwaobo.,Agriculture,True,True
A toll-free maternal health helpline is available for advice and emergency referrals. Dial 1195 anytime.,"Esimi ya okonyora obokonyi ase abasubati bakogonkia,nere aroro ase okoegwa obosemia na gokonywa Kwa obwango. Aka 1195 chinsa chinde chionsi",Health,False,True
The National Drugs Investigation has launched training for religious learder as a move to prevent self suicide,Ekeombe Ekenene Kiobotuki bwa Amariogo giachakirie amaegerio yamatemu ase abarai abanene bechidini ase ogotanga okweng'enta buna amasomo gokinia obongo,Health,False,True
"TSC releases guidelines for recruiting 44,000 teachers on permanent terms.","Ekeombe ekene kia abarimu (TSC) yarure omoroberio buna okorikwa kwa abarimu 44,000 korabe bapamanenti.",Education,False,True
