English,Kiswahili,Ekegusii,Domain
"In the beginning, God created the heavens and the earth.",Hapo mwanzo Mungu aliumba mbingu na dunia.,"Agwo omochakano Nyasae agatonga igoro na ense,",Religion
The earth was formless and empty. Darkness was on the surface of the deep and God’s Spirit was hovering over the surface of the waters.,"Wakati huu dunia ilikuwa haina umbo, tena ilikuwa tupu. Giza lilikuwa juu ya uso wa vilindi vya maji, naye Roho wa Mungu alikuwa ametulia juu ya maji.","Bono ense tiyarenge na kieni kende, gose kende gionsi tikiareengeo, n’omosunte ekerima nigo oyetubete, na Omoika o Nyasae ogatoeerera igoro y’amaache.",Religion
"God said, “Let there be light,” and there was light.","Mungu akasema, “Iwepo nuru,” nayo nuru ikawepo.","Erio Nyasae agachiika: “Tiga oborabu bobeo,” erio kegima oborabu bokabao.",Religion
"God saw the light, and saw that it was good. God divided the light from the darkness.","Mungu akaona ya kuwa nuru ni njema, ndipo Mungu akatenganisha nuru na giza.","Nyasae akagokigwa na keria aroche. Erio agaatanana oborabu korwa ase omosunte,",Religion
"God called the light “day”, and the darkness he called “night”. There was evening and there was morning, the first day.","Mungu akaiita nuru “mchana,” na giza akaliita “usiku.” Ikawa jioni, ikawa asubuhi, siku ya kwanza.","akaroka oborabu boria omobaso, na omosunte akayoroka obotuko. Erio agwo rikaba mogoroba, naende bokaba maambia, rituko rie ritang’ani.",Religion
"God said, “Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.”","Mungu akasema, “Iwepo nafasi kati ya maji igawe maji na maji.”","Erio Nyasae agachiika, “Tiga oboiko bobe egati‐gati y’amaache, erio bwatanane amaache korwa ase amaache ande.”",Religion
"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.","Kwa hiyo Mungu akafanya nafasi, akatenganisha maji yaliyo chini ya hiyo nafasi na maji yaliyo juu yake. Ikawa hivyo.","Igo Nyasae agakora oboiko boria, bogaatanana amaache ayare inse y’eaanga korwa ase amaache ayare igoro y’oboiko; ayio akaba boigo.",Religion
"God called the expanse “sky”. There was evening and there was morning, a second day.","Mungu akaiita hiyo nafasi “anga.” Ikawa jioni, ikawa asubuhi, siku ya pili.","Akaroka oboiko boria igoro. Erio agwo rikaba mogoroba, naende bogakia mambia, rituko ria kabere.",Religion
"God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear;” and it was so.","Mungu akasema, “Maji yaliyopo chini ya anga na yakusanyike mahali pamoja, pawepo na nchi kavu.” Ikawa hivyo.","Naende Nyasae agachiika, “Tiga amaache ayare inse y’erioba asangererekane aase aamo, egere ense enyomo erorekane;” ayio akaba boigo.",Religion
"God called the dry land “earth”, and the gathering together of the waters he called “seas”. God saw that it was good.","Mungu akaiita nchi kavu “ardhi,” nalo lile kusanyiko la maji akaliita “bahari.” Mungu akaona kuwa ni vyema.","Akaroka aase aria aomo ense, na amaache aria asangererekanete amo akayaroka chinyancha. Nyasae akarora ayio ng’a namaya.",Religion
"God said, “Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;” and it was so.","Kisha Mungu akasema, “Ardhi na itoe mimea: miche itoayo mbegu, miti juu ya nchi itoayo matunda yenye mbegu ndani yake, kila mmea kulingana na aina zake mbalimbali.” Ikawa hivyo.","Erio agachiika agateeba: “Tiga ense emere ebimeri bigokina, buna ebimeri bikorua na emete ekwama amatunda are ne chimbusuro chire imeo, kera oyomo ase egesaku kiaye ekenyene” ayio akaba boigo.",Religion
"The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good.","Ardhi ikachipua mimea: Mimea itoayo mbegu kulingana na aina zake, na miti itoayo matunda yenye mbegu kulingana na aina zake. Mungu akaona ya kuwa hili ni jema.","Na ense ekamera ebimeri bionsi, na Nyasae akarora ng’a ayio namaya.",Religion
"There was evening and there was morning, a third day.","Ikawa jioni, ikawa asubuhi, siku ya tatu.","Erio agwo rikaba mogoroba, naende bogakia mambia, rituko ria gatato.",Religion
"God said, “Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years;","Mungu akasema, “Iwepo mianga kwenye nafasi ya anga ili itenganishe usiku na mchana, nayo iwe alama ya kutambulisha majira mbalimbali, siku na miaka,","Erio Nyasae agachiika “Tiga emebaso ebe ase oboiko bw’aaria igoro, bwatanane omobaso korwa ase obotuko; erio ebe ebimanyererio bikworokia ebiro bi’amatuko, ne chingaki, n’emiaka,",Religion
and let them be for lights in the expanse of the sky to give light on the earth;” and it was so.,nayo iwe mianga kwenye nafasi ya anga ya kutia nuru juu ya dunia.” Ikawa hivyo.,"ebe emebaso ase oboiko aaria igoro, boyee ense omobaso na oborabu,” ayio onsi akaba boigo.",Religion
"God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.","Mungu akafanya mianga miwili mikubwa: mwanga mkubwa utawale mchana, na mwanga mdogo utawale usiku. Pia Mungu akafanya nyota.","Erio Nyasae agakora emebaso ebere emenene, Risase rigaambere ekero kia mobaso n’omotienyi ogaambere ekero kia botuko; agakora ne ching’enang’eni boigo.",Religion
"God set them in the expanse of the sky to give light to the earth,","Mungu akaiweka katika nafasi ya anga iangaze dunia,","Akayebeka ase eanga aaria igoro, eyee ense oborabu,",Religion
"and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.","itawale usiku na mchana, na ikatenganishe nuru na giza. Mungu akaona kuwa hili ni jema.","egaambere omobaso na obotuko, na gwatanana oborabu korwa ase omosunte. Nyasae akarora ayio ng’a namaya.",Religion
"There was evening and there was morning, a fourth day.","Ikawa jioni, ikawa asubuhi, siku ya nne.","Erio agwo rikaba mogoroba, naende bogakia mambia, rituko ria kane.",Religion
"God said, “Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.”","Mungu akasema, “Kuwepo na viumbe hai tele kwenye maji, nao ndege waruke juu ya dunia katika nafasi ya anga.”","Naende Nyasae agachiika, “Tiga amaache atware obonge bw’ebitongwa bire moyo, ne chinyoni chikoiruruka igoro ase ense, chigoetanana inse y’eaanga ya igoro.”",Religion
"God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.","Kwa hiyo Mungu akaumba viumbe wakubwa wa baharini na kila kiumbe hai kiendacho majini kulingana na aina zake, na kila ndege mwenye mabawa kulingana na aina yake. Mungu akaona kuwa hili ni jema.","Erio Nyasae agatonga ebitongwa ebinene bire ase amaache ime, amo n’ebitongwa binde bionsi bimenyete ase amache ime, boigo agatoonga chinyoni. Nyasae akarora ng’a ayio namaya.",Religion
"God blessed them, saying, “Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.”","Mungu akavibariki, akasema, “Zaeni mwongezeke, mkayajaze maji ya bahari, nao ndege waongezeke katika dunia.”","Erio akabisesenia bionsi, agateeba ebitoongwa biria bimenyete amaache ime bisaraare biichore ime ase chinyancha, naende agateebia chinyoni chisaraare ase ense.",Religion
"There was evening and there was morning, a fifth day.","Ikawa jioni, ikawa asubuhi, siku ya tano.","Erio agwo rikaba mogoroba, naende bogakia mambia, rituko ria gatano.",Religion
"God said, “Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;” and it was so.","Mungu akasema, “Ardhi na itoe viumbe hai kulingana na aina zake: wanyama wa kufugwa, viumbe vitambaavyo ardhini na wanyama pori, kila mnyama kulingana na aina yake.” Ikawa hivyo.","Naende Nyasae agachiika, “Tiga ense etware ebitongwa bire moyo, kera egesaku n’engencho yaye. Ching’iti chigotugwa, n’echikwagura, ne ching’iti chi’orosana, kera egesaku nengencho yaye” ayio akaba boigo.",Religion
"God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.","Mungu akafanya wanyama pori kulingana na aina zake, wanyama wa kufugwa kulingana na aina zake, na viumbe vyote vitambaavyo juu ya ardhi kulingana na aina zake. Mungu akaona kuwa hili ni jema.","Ase igo Nyasae agakora ching’iti chi’orosana, Nyasae akarora ng’a ayio namaya.",Religion
"God said, “Let’s make man in our image, after our likeness. Let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.”","Ndipo Mungu akasema, “Tufanye mtu kwa mfano wetu, kwa sura yetu, wakatawale juu ya samaki wa baharini na ndege wa angani, juu ya mifugo, juu ya dunia yote, na juu ya viumbe wote watambaao juu ya nchi.”","Erio Nyasae agateeba: “Bono tiga tokore omonto; ase omogwekano oito, otobwekaine. Nigo arabe n’echinguru agaambere chinswe chia nyancha, ne chinyoni chikoiruruka igoro, ne ching’iti chigotugwa, ne ching’iti chionsi chi’orosana, na ense yonsi, ne ching’iti chionsi chinene n’echinke.”",Religion
God created man in his own image. In God’s image he created him; male and female he created them.,"Kwa hiyo Mungu akamuumba mtu kwa mfano wake mwenyewe, kwa mfano wa Mungu alimuumba; mwanaume na mwanamke aliwaumba.","Nabo Nyasae agatonga Mwanyabaanto ase omobwekano oye omonyene; ase omobwekano o Nyasae ere akamotonga. Agatonga omosacha na omokungu,",Religion
"God blessed them. God said to them, “Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.”","Mungu akawabariki na akawaambia, “Zaeni na mkaongezeke, mkaijaze tena dunia na kuitiisha. Mkatawale samaki wa baharini, ndege wa angani, na kila kiumbe hai kiendacho juu ya ardhi.”","akabasesenia, akabateebia: “Moibore, mosarare, moichore ase ense, na moyegaambere. Ngokobeeka inde ogaambere chinswe, ne chinyoni, n’echingiti chionsi chi’orosana.",Religion
"God said, “Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.","Kisha Mungu akasema, “Nimewapa kila mche utoao mbegu juu ya uso wa dunia yote, na kila mti wenye matunda yenye mbegu ndani yake. Vitakuwa chakula chenu.","Nabaeire kera ekemeri gekwama chimbusuro, na kera omote okwama amatunda ebio nabio biraabe endagera yaino.",Religion
"To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;” and it was so.","Nao wanyama wote wa dunia, ndege wote wa angani, na viumbe vyote viendavyo juu ya ardhi: yaani kila kiumbe chenye pumzi ya uhai, ninawapa kila mche wa kijani kuwa chakula.” Ikawa hivyo.",Korende ching’iti chi’orosana ne chinyoni chionsi nachieire ebimeri ebibese bionsi bibe endagera yabo.” Ayio onsi akaba boigo.,Religion
"God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.","Mungu akaona vyote alivyoumba, na tazama, ilikuwa vizuri sana. Ikawa jioni, ikawa asubuhi, siku ya sita.","Nyasae akarora ebinto ebio bionsi akorete, na birobio nigo biareenge ebiya mono. Erio agwo rikaba mogoroba, naende bogakia mambia, rituko ria gatano na rimo.",Religion
"The heavens, the earth, and all their vast array were finished.","Kwa hiyo mbingu na dunia zikakamilika, pamoja na vyote vilivyomo.",Naboigo igoro na ense bigaikeranigwa.,Religion
On the seventh day God finished his work which he had done; and he rested on the seventh day from all his work which he had done.,"Katika siku ya saba Mungu alikuwa amekamilisha kazi aliyokuwa akiifanya, hivyo siku ya saba akapumzika kutoka kazi zake zote.",Ase rituko ria gatano na kabere Nyasae agaikerania emeremo yaye yonsi; erio agatimoka.,Religion
"God blessed the seventh day, and made it holy, because he rested in it from all his work of creation which he had done.","Mungu akaibariki siku ya saba akaifanya takatifu, kwa sababu katika siku hiyo alipumzika kutoka kazi zote za kuumba alizokuwa amefanya.","Nyasae agasesenia rituko ria gatano na kabere, akariatanana, akarikora richenu, ekiagera erio nario rituko atimogete korwa ase emeremo yaye yonsi y’obotongi, eyio konya akorire.",Religion
"This is the history of the generations of the heavens and of the earth when they were created, in the day that Yahweh God made the earth and the heavens.","Haya ndiyo maelezo ya mbingu na dunia wakati zilipoumbwa. Bwana Mungu alipoziumba mbingu na dunia,","Oyo noro omogano igoro y’ense, na bionsi ebire imeo buna biatongetwe.",Religion
"No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for Yahweh God had not caused it to rain on the earth. There was not a man to till the ground,","hapakuwepo na mche wa shambani uliokuwa umejitokeza ardhini, wala hapakuwepo na mmea wa shamba uliokuwa umeota, kwa kuwa Bwana Mungu alikuwa hajanyeshea mvua juu ya nchi, na hapakuwepo mtu wa kuilima ardhi,","Ase engaki eria’Omonene atongete igoro na ense, kemeri kende tikiarenge komera korwa ase riroba, gose nyeni chinde, ekiagera Omonene Nyasae konya taratoma embura etwe ase ense, nonya ’monto onde tarengeo ore korema riroba.",Religion
