English,Ekegusii,Kiswahili
"The book of the words of Tobit, the son of Tobiel, the son of Ananiel, the son of Aduel, the son of Gabael, of the seed of Asiel, of the tribe of Naphtali;","Oyo nomogano igoro y’obogima bwa Tobiti omwana o Tobieli, omwana bw’Ananieli, omwana o Adueli, omwana o Gabaeli, bw’ororeria rwa Asaeli bw’egesaku kia Nafutali,",
"who in the days of Enemessar king of the Assyrians was carried away captive out of Thisbe, which is on the right hand of Kedesh Naphtali in Galilee above Asher.",oyio ase chingaki Salimaneseri arenge omorwoti bw’Abasiria aosetwe korwa Tisbe eyio ere Irianyi ya Kedesh aria ase ense ya Nafutali sugugu ya Galili bosongo yomochie bwa Hazori boigo na sugusu ya Shefati.,
"I, Tobit walked in the ways of truth and righteousness all the days of my life, and I did many alms deeds to my kindred and my nation, who went with me into the land of the Assyrians, to Nineveh.",Inche Tobiti nabwatirie chinchera chi’ekeene na gokora amaya ase obogima bwane bwonsi. Chingaki chinyinge nigo nakonyete abaminto boigo n’bayahudi baminto abataka abwo bang’anyetigwe amo nainche gochia ase omochie o Ninawi agwo ase ense ya Asuri.,
"When I was in my own country, in the land of Israel, while I was yet young, all the tribe of Naphtali my father fell away from the house of Jerusalem, which was chosen out of all the tribes of Israel, that all the tribes should sacrifice there, and the temple of the habitation of the Most High was hallowed and built therein for all ages.","Ekero narenge ase ense yaito aria Israeli ekero narenge omosae, ebisaku bionsi bi’Abaisraeli nigo biatakeire korwera Omonene ekengwanso aria Yerusalemu oyio orenge omochie omochore Omonene Nyasae achorete korwa ase emechie yonsi y’Abaisraeli, ase hekalu yaye yarenge gocha kwagachwa agwo nao obomenyo bwaye bwarenge. Korende egesaku kiane kia Nafutali kegeatanana korwa ase omochie o Yerusalemu amo negesaku gionsi gia Daudi",
"All the tribes which fell away together sacrificed to the heifer Baal, and so did the house of Naphtali my father.",Abaminto bonsi negesaku kia Nafutali bakarwera emori eria omorwoti Jeroboam o Israeli atenenetie aria ase omochie o Dan ase egetunwa kia Galili.,
"I alone went often to Jerusalem at the feasts, as it has been ordained to all Israel by an everlasting decree, having the first fruits and the tenths of my increase, and that which was first shorn; and I gave them at the altar to the priests the sons of Aaron.","Ase abanto baminto bonsi ninche bweka narenge kogenda Yerusalemu kera engaki goikerania keria ogochika kwa Musa koria kwabwatete Abaisraeli bonsi kwaganetie. Nigo nare kwayerera gochia Yerusalemu nokwama kwane kw’eritang’ani, nogwechitugo chiane, boigo namarionya yechingondi. Erio natenena ase egesasiimero ase Hekalu narua ekengwanso ase Abakuani, n’abamura ba Aroni.",
"I gave a tenth part of all my increase to the sons of Levi, who ministered at Jerusalem. A second tenth part I sold away, and went, and spent it each year at Jerusalem.","Ebinto ebi nigo narenge koa abakuani abana ba Aroni ase engencho ya amatabau. Nigo narenge kobaa ensemo yane ya ikomi yokwama kwane, edivai, engano, amasautuni, amakomamanga, boigo namatunda ande. Ase emiaka etano nomo nigo narenge koira chifeta nechisadaka narwa aria Yerusalemu.",
"A third tenth I gave to them to whom it was appropriate, as Deborah my father’s mother had commanded me, because I was left an orphan by my father.","Ensemo ya gatato yokorwa nigo nare koa chintakana ababoraka boigo nabamenyi abwo bamenyete ase egati yabaanto baane. Nigo narenge koyereta ase omwaka ogatato na kobaa buna ekeegwa erio twayeria kobwatekana namachiiko a Musa boigo n’oboseemia nanyorete korwa ase Debora ng’ina sokoro yane Ananieli, ekiagera konya tata ominto okuure ontigire inde entakana.",
"When I became a man, I took as wife Anna of the seed of our own family. With her, I became the father of Tobias.","Ekero nabeete omonto omonene ’nkanywoma Anna oyio orenge omoiseke korwa ase egesaku giaito, erio togasesenigwa nomwana tokamoroka Tobiasi.",
"When I was carried away captive to Nineveh, all my kindred and my relatives ate of the bread of the Gentiles;","Magega yaye ’nkairwa obosomba ase ense ya Ninawi. Ekero tore ase ense eyio, abanto bonsi baminto nigo bare koria chindagera chi’abaanto b’ebisaku.",
"but I kept myself from eating,","Korende inche ’nkanga koria endagera eria,",
because I remembered God with all my soul.,"ase engencho nasigete mono amachiiko a Nyasae ore igoro,",
"So the Most High gave me grace and favor in the sight of Enemessar, and I was his purchasing agent.",ere agakora omorwoti Shalmanesa gonsika mono erio nkabekwa gotenenera ebinto bionsi ebio biare kogorwa ase enka yomorwoti.,
"And I went into Media, and left ten talents of silver in trust with Gabael, the brother of Gabrias, at Rages of Media.","Magega omorwoti Shalimanesa ataarakwa nigo narenge kogenda nonya ngoika ense ya’Bamidia komogorera ebinto aroro. Rituko erimo konde ase omochie oyomo ore korokwa Rage ase ense ya Midia, nkamotigera Gabaeli momura omwabo Gabria chifeta chiarenge emebuko ime nkamoboria angachere. Ime ase emebuko eyio ’chiarengeo chishaba ange chikiro 300.",
"And when Enemessar was dead, Sennacherib his son reigned in his place. In his time, the highways were troubled, and I could no longer go into Media.","Ekero Shalmanesa akwete, momura oye ore korokwa Senakeribu akaba omorwoti ribaga riaye nagwo chinchera chiare kogenda media chigasiekwa ase engencho abauri nigo bare koboera abanto ase chinchera echio, erio inche ngasinywa kogenda aroro.",
"In the days of Enemessar, I did many alms deeds to my kindred: I gave my bread to the hungry,",Ase chingaki chiria Shalimanesa arenge omorwoti nigo nabete ngokorera abanto baminto Abayahudi abwo barenge abataka amaya.,
"and my garments to the naked. If I saw any of my race dead, and thrown out on the wall of Ninevah, I buried him.","Nigo narenge koa baria barenge nenchara endagera yane boigo na koa baria baare getirianda chianga chiane. Ekero nare konyora emebere yoyomo bw’abaanto baane otugutire isiko y’orwaki rw’omochie, nigo nare koyobogoria na koyotindeka ase amasikani.",
"If Sennacherib the king killed any, when he came fleeing from Judea, I buried them privately; for in his wrath he killed many; and the bodies were sought for by the king, and were not found.","Ekero omorwoti Senakeribu are goita monto onde bwensi ore gotamera ense yaye korwa Yudea, inche nigo nare komotindeka bobisi. Omorwoti nigo aitete abanto abange mono erio gokendia endamwamu yaye. Magega yaye ekero are korigia emebere ya baria aitire tare koyenyora.",
"But one of the Ninevites went and showed to the king concerning me, how I buried them, and hid myself; and when I knew that I was sought for to be put to death, I withdrew myself for fear.","Korende omonto oyomo o Ninawi agateebia omorwoti buna ninche nare gotindeka emebere y’Abaisraeli baria bare goitwa. Ekero namanya buna omorwoti omanyire amang’ana ane onsi, na abanto nigo bare kondigia bang’ite, ngasogwa nobwoba ngatama.",
"And all my goods were forcibly taken away, and there was nothing left to me, save my wife Anna and my son Tobias.",Ebinto biane bionsi bikabwatwa bikairwa ase enyomba yomorwoti bikagachwa aroro. Kende tikeri giatigarete ase inde otatiga omong’ina one Anna nomwana one Tobia.,
"No more than fifty five days passed before two of his sons killed him, and they fled into the mountains of Ararat. And Sarchedonus his son reigned in his place; and he appointed Achiacharus my brother Anael’s son over all the accounts of his kingdom, and over all his affairs.","Magega yechichuma ange isano nemo, abana babere b’omorwoti Senakeribu bagaita ise erio bagatama gochia ase ebitunwa bia Ararati. Esarhadoni omwana onde bw’omorwoti akaba omorwoti erio akabeka Ahika omwana omomura ominto Anaeli koba omoteneneri bwe chitaabu boigo namang’ana onsi y’oborwoti.",
"Achiacharus requested me, and I came to Nineveh. Now Achiacharus was cupbearer, keeper of the signet, steward, and overseer of the accounts. Sarchedonus appointed him next to himself, but he was my brother’s son.","Ahika akandwanerera erio nkairana Ninawi. Eri neriakabere Ahika koba nekerogo eke, ekiagera konya obeire omoteneneri omonene bw’edivai, omoteneneri bwe chitaabu, boigo nomoteneneri bw’ekemanyererio ki’omorwoti, inse y’oborwoti bwa Senakeribu erio na Esarhadoni akamobeka emeremo eyio. Aika nigo arenge omoigwa one.",
"Now when I had come home again, and my wife Anna was restored to me, and my son Tobias, in the feast of Pentecost, which is the holy feast of the seven weeks, there was a good dinner prepared for me, and I sat down to eat.","Bono ekero nairanete inka bwone nkaegwa omokungu one Anna n’omwana one Tobia, ngakorerwa omoyega omonene ekero rituko ria Pentekosti riaigete erio riare rituko rinene ase chichuma isano na ibere. Ekero naikaransete ase emesa nigo narooche chindagera chinyinge chibeekire ase emesa eyio.",
"I saw abundance of meat, and I said to my son, “Go and bring whatever poor man you find of our kindred, who is mindful of the Lord. Behold, I wait for you.”",Erio ngatebia Tobia omwana one “Genda aria isiko ase abanto bainto orore gose nonyore omotaka ase egati y’abanto baito oyio omoirogete Nyasae omorete aiga toragere amo nere. Rora inche nakoganyire.”,
"Then he came, and said, “Father, one of our race is strangled, and has been cast out in the marketplace.”",Erio Tobia akagenda korigia omonto omotaka korwa ase egati y’abanto baito. Ekero airanete aganteebia “Tata! Rora nanyorire oyomo bw’abaanto baito oitire na gotugutwa aria echiiro!”,
"Before I had tasted anything, I sprang up, and took him up into a chamber until the sun had set.","Erio erio nkaimoka konya ntararia nonya nendagera eria, nkagenda nkaimokia omobere oria ’nkayogacha erio inche koyotindeka chinsa chia mogoroba;",
"Then I returned, washed myself, ate my bread in heaviness,",erio nkairana ngesibia nkaria endagera eria n’okweumia.,
