swahili,ekegusii,category
Habari / Jambo,Omoiyo / Reroke,Greetings
Habari gani?,Bwairire naki? / Habari naki?,Greetings
Asante sana,Mbuya mono,Phrases
Karibu,Nchwo / Keria,Phrases
Kwaheri,Tigana buya / Genda buya,Phrases
Ndiyo,Eee / Yaani,Phrases
Hapana,Yaya / Yaye,Phrases
Tafadhali,Kaasero / Nkaasero,Phrases
Sijui,Tinimanyeti,Phrases
Unatoka wapi?,Ing’o orwaire?,Phrases
Jina lakutwa nani?,Rietwa riao ningo?,Phrases
Mtu,Omonto,People
Watu,Abanto,People
Mwanaume,Omosacha,People
Mwanamke,Omokungu,People
Mtoto,Omwana,People
Watoto,Abana,People
Baba,Tata,People
Mama,Mama / Baba,People
Kaka / Ndugu,Momura omwabo / Omonani,People
Dada,Msubati omwabo / Mosubati,People
Rafiki,Omosani,People
Mwalimu,Omwalimu / Omworokia,People
Mzee,Omugaka,People
Kijana,Omomura,People
Moja,Erimo,Numbers
Mbili,Ebere,Numbers
Tatu,Etato,Numbers
Nne,Ene,Numbers
Tano,Etano,Numbers
Sita,Etano na erimo (6),Numbers
Saba,Etano na ebere (7),Numbers
Nane,Enane / Etano na etato,Numbers
Tisini / Tisa,Kianda,Numbers
Kumi,Ikomi,Numbers
Mia moja,Rigana erimo,Numbers
Elfu moja,Ekerosio erimo,Numbers
Leo,Rero,Time
Kesho,Ankio,Time
Jana,Igoro,Time
Asubuhi,Mambia,Time
Mchana,Omobaso,Time
Jioni,Mogoroba,Time
Usiku,Obotuko,Time
Mwaka,Omwaka,Time
Mwezi,Omotienyi,Time
Maji,Amaache,Nature
Moto,Omorero,Nature
Mti,Omote,Nature
Ardhi / Nchi,Ense,Nature
Jua,Erioba / Omogaso,Nature
Mvua,Embura,Nature
Afya,Obochenu / Oboyamu,Health
Ugonjwa,Oborwaire,Health
Hospitali,Enyagitari / Sibitari,Health
Dawa,Omobao / Chindawa,Health
Kichwa,Omotwe,Body
Mkono,Omoboko,Body
Mguu,Ekegoro,Body
Jicho,Riso,Body
Tumbo,Ekeuno / Inda,Body
Moyo,Engoro,Body
Kula,Koria,Verbs
Kunywa,Gonywa,Verbs
Kulima,Korema,Verbs
Kusoma,Gosoma,Verbs
Kusema / Kuongea,Goteba / Gokwana,Verbs
Kutembea,Gotaara,Verbs
Kuja,Konchwo,Verbs
Kwenda,Gogenda,Verbs
Kuona,Korora,Verbs
Kujua,Komanya,Verbs
Kufanya,Gokora,Verbs
Kununua,Gogoora,Verbs
Kuuza,Goonia,Verbs
Chakula,Endagera,Food
Ugali,Obokima,Food
Mboga,Chinyeni,Food
Nyama,Enyama,Food
Maziwa,Amabere,Food
Ndizi,Ematoke,Food
Mahindi,Ebibori / Amabori,Food
Shamba,Omogunda,Agriculture
Mbolea,Esamani,Agriculture
