concept_id,Kiswahili,Ekegusii,source
110400,"Sauli akazidi kumwogopa Daudi, naye Sauli akabaki kuwa adui yake siku zote za maisha yake.","Ase ayio Saulo akoboa Daudi mono kobua, naende akaba omobisa oye kogenderera ase obogima bwaye bwonsi.",Trilingual-Bible
128926,"Aliuliza swali hili kumpima, kwa maana alishajua la kufanya.","Igo amoboretie aya, erinde amoteeme, ekiagera namanyete ere omonyene eki arakore.",Trilingual-Bible
106658,"“Sema na Aroni umwambie, ‘Wakati utakapoziweka zile taa saba, zinatakiwa kuangaza eneo lililo mbele ya kinara cha taa.’ ”","“Teebia Aroni ng’a, ekero arabeeke chitaaya isano na ibere ase ekebekerero gie chitaaya, achibeeke erinde chimoreke gochia bosio.”",Trilingual-Bible
118497,"Hataogopa habari mbaya, moyo wake ni thabiti, ukimtegemea Bwana.","Ere takwoboa kagotebigwa amang’ana amabe, enkoro yaye nigo ere endemu esemeretie Omonene.",Trilingual-Bible
117156,"Siku za maafa hawatanyauka, siku za njaa watafurahia wingi wa vitu.","Barabwo tibari gosookigwa ase chingaki chi’amabe, ase chingaki chi’enchara nigo bakoigota.",Trilingual-Bible
100803,Miongozo ya usalama kwa ajili ya kufungua tena shule 2021.,Omoroberio omoikeranu gotanga obokongu ekero chisukuru chikoigora omwaka 2021.,PSA
119105,Watu hawa huvizia kumwaga damu yao wenyewe; hujivizia tu wenyewe!,"Abanto abwo nigo bakoboera goitera amanyinga abo abanyene, na koumokera obogima bwabo abanyene.",Trilingual-Bible
114371,Yoashi akafanya yaliyo mema machoni pa Bwana miaka yote ya Yehoyada kuhani.,Yoashi agakora ayare amaronge ase amaiso ’Omonene ase amatuko onsi Yehoyada Omokuani arenge moyo.,Trilingual-Bible
111349,"Haya ni maneno ya mwisho ya Daudi: “Neno la Daudi mwana wa Yese, neno la mtu aliyeinuliwa na Aliye Juu Sana, mtu aliyepakwa mafuta na Mungu wa Yakobo, mwimbaji wa nyimbo wa Israeli:","Aya naro amang’ana y’omoerio a Daudi, mosinto o Yese, omonto oyo oimokereretigwe igoro, omoakwa amaguta o Nyasae o Yakobo, omoteri bw’amatera agwansa ase Abaisraeli:",Trilingual-Bible
101715,Badilisha maisha ya watoto wa mitaani kupitia programu za makazi.,Onchoreria obogima bwa abana bamenyete ebisona ase chitaoni ase okobaa oboraro nechinchera chiokobaonchoreria gochia obogime obuya.,PSA
128335,"Yesu alipoulizwa na Mafarisayo Ufalme wa Mungu utakuja lini, yeye akawajibu, “Ufalme wa Mungu hauji kwa kuchunguza kwa bidii,","Yeso agachia koborigwa n’Abafarisai, “Oborwoti bwa Nyasae indi borache?” Akabairaneria, “Oborwoti bwa Nyasae tibori gocha ase ebimanyererio bikororekana,",Trilingual-Bible
