concept_id,English,Kiswahili,Ekegusii,source,dataset_origin
100001,Ministry issues drought adaptation tips for sustainable water use.,Wizara yatoa vidokezo vya kukabiliana na ukame kwa matumizi endelevu ya maji.,Eminisituri nigo ekorwaogosemia igoro yogwekomereria ekero kieguragura na yogotumia amache buya.,PSA,psa.csv
100002,US Embassy issued advisory warning of heightened crime and terror risks and urged caution.,Ubalozi wa Marekani ulitoa onyo la ushauri kuhusu hatari kubwa za uhalifu na ugaidi na kuhimiza tahadhari.,Obobalosi bwa America (US Embassy) aiga Kenya yarwete ogosemia kwogokurera igoro yobosareku bwaigoro mono nokonyarekana kwobokebago na gosaba koba maiso.,PSA,psa.csv
100003,"such as e‑commerce, agri‑digital financial services, smart farming and other tools in production, ... A shift towards digital agriculture and mechanization may ...","kama vile biashara ya mtandaoni, huduma za kifedha za kidijitali za kilimo, kilimo bora na zana zingine katika uzalishaji, ... Mabadiliko kuelekea kilimo cha kidijitali na utumiaji wa mashine yanaweza ...","Ayio buna oboonia, achibesa chiboremi goetera egedichitari, oboremi obuya nayande ebikoreri bioboremi nerigesa, ... Goonchoreria gochia oboremi bwegedichitari na obokoreri nabo ...",PSA,psa.csv
100004,Disable browser password-saving features to protect accounts if your device is stolen.,Zima vipengele vya kuhifadhi nenosiri kwenye kivinjari ili kulinda akaunti ikiwa kifaa chako kitaibiwa.,Tobaise gwanchera ekombiuta okogachere ringangana riao riobobisi koyeigora erio korenda amagnana ase ekonbiuta eise koibwa gose gosira.,PSA,psa.csv
100005,Free fire safety training is available for communities to prevent and respond to fire outbreaks.,Mafunzo ya usalama wa moto bila malipo yanapatikana kwa jamii ili kuzuia na kukabiliana na milipuko ya moto.,Amasomo abosa igoro yokwerenda ekero kiomorero nareo ase ebinyoro gotanga nagokonya chingaki omorero ogwateka.,PSA,psa.csv
100006,Integrate music education 2022.,Unganisha elimu ya muziki 2022.,Renta amo chisemi chiechingero 2022.,PSA,psa.csv
100007,Reliable data systems track violence trends and service use to inform evidence-based policies and programs.,Mifumo ya data inayoaminika hufuatilia mitindo ya vurugu na matumizi ya huduma ili kutoa taarifa kuhusu sera na programu zinazotegemea ushahidi.,"Amangana aria arikire amaikeranu buna chiripoti chiabasikari, chianyagitari na NGOs chikworokia buna abanto bagokorerwa bobe erio gokonya korosia amachiko nemeroberio yokobakonya.",PSA,psa.csv
100008,There is no health without mental health,Hakuna afya bila afya ya akili,Borwaria tiboiyo one oborwaria bw'obongo tiboiyo,PSA,psa.csv
100009,"Proper feed storage prevents aflatoxin contamination. Keep grains dry, mold-free, and securely stored.","Uhifadhi mzuri wa malisho huzuia uchafuzi wa sumu ya aflatoxin. Weka nafaka kavu, zisizo na ukungu, na zihifadhiwe kwa usalama.",Kogacha endagrera buya nigo egokonya ogotabosa kwendagera.,PSA,psa.csv
100010,"If you have information, #ReachDCI through hotline number 0800 722 203. Let's work together to uphold justice and accountability. #FichuaGaitho","Kama una taarifa, #Wasiliana naDCI kupitia nambari ya simu 0800 722 203. Tushirikiane kudumisha haki na uwajibikaji. #FichuaGaitho","Onye kore nering'ana, #Moikera omotuki omonene goetera enamba ya morero 0800 722 203. Tiga tokore emeremo amo gosegeta ekeene nobotenereri obuya. #Bisora Gaitho",PSA,psa.csv
