PSA_ID,Domain,Target_Languages,Source,Metadata,English,Kiswahili
PSA_00001,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-launches-5-year-health-security-plan-strengthen-health-emergency-readiness"", ""detected_lang"": ""en""}",23 July 2026 | News Release United against polio: Zimbabwe strengthens regional immunity through synchronized vaccination,23 Julai 2026 | Taarifa ya Habari Umoja dhidi ya polio: Zimbabwe inaimarisha kinga ya kikanda kupitia chanjo iliyosawazishwa
PSA_00002,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}","Kenya celebrates immunization as more children are reached with RTS,S | WHO | Regional Office for Africa Kenya celebrates immunization as more children are reached with RTS,S Kenya this week joins the world to commemorate the African Vaccination week (World Immunization Week) as well as the World Malaria Day on April 25, 2023.","Kenya inasherehekea chanjo huku watoto zaidi wakifikiwa na RTS,S | WHO | Ofisi ya Kanda ya Afrika Kenya inaadhimisha chanjo huku watoto zaidi wakifikiwa na RTS,S Kenya wiki hii inaungana na ulimwengu kuadhimisha wiki ya Chanjo ya Afrika (Wiki ya Chanjo Duniani) pamoja na Siku ya Malaria Duniani mnamo Aprili 25, 2023."
PSA_00003,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}",Commemoration of these important days is key in that it reinforces the need to pay attention to immunization and prevention of disease.,Kuadhimisha siku hizi muhimu ni muhimu kwa kuwa inaimarisha haja ya kuzingatia chanjo na kuzuia magonjwa.
PSA_00004,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}","Kenya since 1980, established the Kenya Expanded Programme for Immunization, KEPI, which set its pace to ensure all child diseases are prevented through immunization from birth.","Kenya tangu mwaka wa 1980, ilianzisha Mpango wa Kenya wa Kupanua Chanjo, KEPI, ambao uliweka kasi yake kuhakikisha magonjwa yote ya watoto yanazuiliwa kupitia chanjo tangu kuzaliwa."
PSA_00005,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}","The RTS,S/AS01 (RTS,S) malaria vaccine is the first vaccine recommended to prevent malaria in children.","Chanjo ya malaria ya RTS,S/AS01 (RTS,S) ni chanjo ya kwanza inayopendekezwa kuzuia malaria kwa watoto."
PSA_00006,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}",The expansion of malaria vaccination follows the first WHO recommendation for a malaria vaccine in October 2021 that was informed by data and insights generated from the pilots.,Upanuzi wa chanjo ya malaria unafuatia pendekezo la kwanza la WHO la chanjo ya malaria mnamo Oktoba 2021 ambalo lilitokana na data na maarifa yaliyotolewa kutoka kwa majaribio.
PSA_00007,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}","""I would like to congratulate the Government of Kenya for this step toward increasing access to the first malaria vaccine, as part of a package of WHO-recommended measures to strengthen malaria control.","“Ningependa kupongeza Serikali ya Kenya kwa hatua hii ya kuongeza upatikanaji wa chanjo ya kwanza ya malaria, ikiwa ni sehemu ya hatua zilizopendekezwa na WHO za kuimarisha udhibiti wa malaria."
PSA_00008,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}","In a visit to vaccination sites in February by the WHO Director of Immunization, Vaccines and Biologicals Dr Kate O'Brien, she said: ""I note that this vaccine has generated a lot of enthusiasm and excitement in communities, and the high demand for it is bringing caregivers and children to the clinics where children can also catch up on other vaccines and child interventions for protection.","Katika ziara yake katika maeneo ya chanjo mwezi Februari na Mkurugenzi wa Chanjo, Chanjo na Biolojia wa WHO, Dk Kate O'Brien, alisema: ""Ninatambua kuwa chanjo hii imeleta shauku na msisimko mkubwa katika jamii, na mahitaji yake makubwa yanaleta walezi na watoto kwenye kliniki ambapo watoto wanaweza pia kupata chanjo nyingine kwa ajili ya ulinzi na watoto."
PSA_00009,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}","Their role is also to convey health messages on the need to continue other malaria prevention measures, such as sleeping under bednets (ITNs), and benefits of other routine vaccines for children.","Jukumu lao pia ni kuwasilisha ujumbe wa afya juu ya haja ya kuendelea na hatua nyingine za kuzuia malaria, kama vile kulala chini ya vyandarua (ITNs), na manufaa ya chanjo nyingine za kawaida kwa watoto."
PSA_00010,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}","People have died of this disease so am grateful that our children have a chance to escape it."" For Eunice Aoko, a mother of five, who took her youngest child Scovia to Chemelili health facility for vaccination, the vaccine is a health opportunity for children and their families.","Watu wamekufa kutokana na ugonjwa huu kwa hivyo ninashukuru kwamba watoto wetu wana nafasi ya kuuepuka."" Kwa Eunice Aoko, mama wa watoto watano, ambaye alimpeleka mtoto wake mdogo Scovia katika kituo cha afya cha Chemelili kwa ajili ya chanjo, chanjo hiyo ni fursa ya afya kwa watoto na familia zao."
PSA_00011,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}",This could include use of digital methods like SMS for sharing health information and for reminding parents to complete the vaccination schedule.,Hii inaweza kujumuisha matumizi ya mbinu za kidijitali kama vile SMS kwa kushiriki maelezo ya afya na kuwakumbusha wazazi kukamilisha ratiba ya chanjo.
PSA_00012,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}","""In the coming years, our objective is to continue to expand malaria vaccination to other parts of the country, as more supplies of the vaccine become available,"" said Dr Lucy Mecca, Head of the National Vaccines and Immunization Program (NVIP).","""Katika miaka ijayo, lengo letu ni kuendelea kupanua chanjo ya malaria katika maeneo mengine ya nchi, kadiri vifaa zaidi vya chanjo hiyo vitakavyopatikana,"" alisema Dk Lucy Mecca, Mkuu wa Mpango wa Kitaifa wa Chanjo na Chanjo (NVIP)."
