English,Kiswahili,Ekegusii,Domain
"Health Chief Administrative Secretary, Dr. Rashid Aman, today flagged off vehicles procured through the support of @gavi to boost the national vaccine & immunization program activities in the Counties of Garissa, Lamu, Mandera, Wajir, West Pokot & Nandi. #KomeshaCorona update.","Katibu Mkuu wa Utawala wa Afya, Dkt. Rashid Aman, leo ameashiria magari yaliyonunuliwa kupitia usaidizi wa @gavi ili kuimarisha shughuli za mpango wa kitaifa wa chanjo na chanjo katika Kaunti za Garissa, Lamu, Mandera, Wajir, Pokot Magharibi na Nandi. #KomeshaCorona sasisho.",N/A - Pending Fine-Tuned Model Inference,Public Health
Wajir County: Drought Early Warning Bulletin for February 2023,Kaunti ya Wajir: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Februari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"The Government of Kenya (GoK) with the support from the World Bank (WB) is implementing the ‘Kenya Secondary Education Quality Improvement Project’ (SEQIP).The Project is designed to complement other projects and activities financed by the Government under the National Education Strategic Plan (NESP), the Global Partnership for Education (GPE) grant, and other programs supported by various Development Partners (DPs) in the sector. The Constitution of Kenya (2010) has the Bill of Rights at its core, while the country’s Vision 2030 acknowledges the need to reform the education and training system so that it aligns well with the aspirations of the youth, and those of the country on becoming an upper-middle income industrialized nation.","Serikali ya Kenya (GoK) kwa msaada kutoka Benki ya Dunia (WB) inatekeleza ‘Mradi wa Kuboresha Ubora wa Elimu ya Sekondari ya Kenya’ (SEQIP). Mradi huu umeundwa ili kukamilisha miradi na shughuli nyingine zinazofadhiliwa na Serikali chini ya Mpango wa Kitaifa wa Mkakati wa Elimu (NESP), ruzuku ya Global Partnership for Education (GPE), na programu nyingine zinazoungwa mkono na Washirika mbalimbali wa Maendeleo katika sekta ya Maendeleo (DPs). Katiba ya Kenya (2010) ina Mswada wa Haki katika msingi wake, wakati Dira ya 2030 ya nchi inakubali haja ya kurekebisha mfumo wa elimu na mafunzo ili uendane vyema na matarajio ya vijana, na yale ya nchi juu ya kuwa taifa la watu wenye kipato cha kati kilichoendelea kiviwanda.",N/A - Pending Fine-Tuned Model Inference,General
"Kenya Price Bulletin, January 2024","Taarifa ya Bei ya Kenya, Januari 2024",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Women have a bigger role to play, have market access like men in agricultural wealth...(2020). To access agriculture markets and differences in feeds in Kenya.",N/A - Pending Fine-Tuned Model Inference,"abangina ngokora bare ase ensemo yoboremi, mbabwati ogosoa oboremi buna abasacha ase obonda bwoboremi. ... (2020), Gosoa echiro yoboremi na oborgeria ase oboagare aiga Kenya: ...",Agriculture
Mothers and their young children are required to visit their health facilities to be tested 48 hours after delivery for medical care.,N/A - Pending Fine-Tuned Model Inference,Abang'ina amo n'abana abake bagwenerete kogenda oborengi nyagitari chinsa 48 koru okoibora banyare korengwa erio korigia bobe bonde bwonsi na korotota okobwena kwa bwango.,Health
"In settings where complications can go unrecognized and timely care is often out of reach, skilled support can mean the difference between life and death.","Katika mazingira ambapo matatizo yanaweza kwenda bila kutambuliwa na huduma ya wakati mara nyingi haipatikani, usaidizi wenye ujuzi unaweza kumaanisha tofauti kati ya maisha na kifo.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"To achieve mental health for those living with disabilites is of great importance. Now, do you know any person who needs counselling? Send an SMS to ""support"" to 20767 so that you can connect with a counsellor free of charge.",N/A - Pending Fine-Tuned Model Inference,"Goikerania amag'ana yobobwenia ase abanto babwate oborema nokw’engencho mono. Inee, nomanyete monto onde oganetie oyo agokwanera? Toma riuko erienge “support” gochia 20767 erio onyore omosemia.",Health
Building partnerships with counties strengthens accountability. Say no to graft.,N/A - Pending Fine-Tuned Model Inference,Koagacha oboamate obuya gati yechikaonti nigo kogokong'ia obotenereri obuya. Kana obokengeka.,Security
"COVID-19 could deepen food insecurity, malnutrition in Africa14 May 2020","COVID-19 inaweza kuzidisha uhaba wa chakula, utapiamlo barani Afrika14 Mei 2020",N/A - Pending Fine-Tuned Model Inference,General
Kenya | DG ECHO response 2022 - DG ECHO Daily Map | 02/12/2022,Kenya | Jibu la DG ECHO 2022 - Ramani ya Kila Siku ya DG ECHO | 02/12/2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Discover appropriate times when you can supply milk from your dairy farm or eggs to (schools and hospitals) depending on their feeding program.,N/A - Pending Fine-Tuned Model Inference,Rigia komanya chinagaki chingiya chireo as ase oboremi bwao bwechiombe chia'amabere giose ebiombe bibwatekaine nayio ase okoonia amagena echingoko chiao bwango kegima gochia (chisukuru na chuinyagitari ) ase omoroberio bwoborageria bwaobo.,Agriculture
Climate smart agriculture (CSA) is an approach that helps to guide actions needed to transform and reorient agricultural systems to effectively support ...,N/A - Pending Fine-Tuned Model Inference,Climate smart agriculture (CSA) is an approach that helps to guide actions needed to transform and reorient agricultural systems to effectively support ...,Agriculture
Mandera County: Drought Early Warning Bulletin for October 2023,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame ya Oktoba 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
The National Drugs Investigation has launched training for religious learder as a move to prevent self suicide,N/A - Pending Fine-Tuned Model Inference,Ekeombe Ekenene Kiobotuki bwa Amariogo giachakirie amaegerio yamatemu ase abarai abanene bechidini ase ogotanga okweng'enta buna amasomo gokinia obongo,Health
"TSC releases guidelines for recruiting 44,000 teachers on permanent terms.",N/A - Pending Fine-Tuned Model Inference,"Ekeombe ekene kia abarimu (TSC) yarure omoroberio buna okorikwa kwa abarimu 44,000 korabe bapamanenti.",Education
"Make up a good agri business plan, incorporating irrigation or dairy farming . Learn basic tips and loans acquisition.",N/A - Pending Fine-Tuned Model Inference,Rosia omoreberio omuya bwoboonchoreria bwoboremi bwao as ogosiarera amache gose omoremi bwechiombe chia amabere. Egera igor yechinsemo chibwenerete chiragokonye ase okonyora eroni yoboremi,Agriculture
Announcement on educating people in the whole region on poor eating habits in the counties,N/A - Pending Fine-Tuned Model Inference,Okoraria kwa amaegerio ase orogongo orogima erio gosegeta emeroberio yobobwenia ase ogotanga koragera orachi ase chikaunti,Health
Detailed research done in Northern Nigeria with AATF and partners has borne great perspective among maize farmers .,N/A - Pending Fine-Tuned Model Inference,"Obokongoria bwabeene bwakoretwe aria Irianyi ya Nigeria na AATF, na abamwabo mbwaorokerertie ng'a ogotareng'ana gati yomonto omosacha na okungu ase engencho yobogambi na ekemira igoro yoboremi bwabobuna nomochando omonene as oboremi bwebituma.",Agriculture
"Kenya | Drought and Hunger Crisis - Operation Update (6 months), DREF Operation n° MDRKE049","Kenya | Mgogoro wa Ukame na Njaa - Sasisho la Operesheni (miezi 6), Operesheni ya DREF n° MDRKE049",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kilifi County: Drought Early Warning Bulletin for April 2023,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Aprili 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"To attain market access and to support such institutional programs in a country is a central support..availability and grants on agricultural markets and insured agriculture . In County, priorities are taken seriously..",N/A - Pending Fine-Tuned Model Inference,"Goikera echiro yoboremi na gosira emeroberio yekeombe ekio kiogokonya oboremi. As ense, omoroberio ogati orengete gosira ...",Agriculture
I took that step for my five children who depend on me.,Nilichukua hatua hiyo kwa watoto wangu watano wanaonitegemea.,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Samburu County: Drought Early Warning Bulletin for March 2022,Kaunti ya Samburu: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya: Drought - County Map Series (18 Apr 2023),Kenya: Ukame - Msururu wa Ramani za Kaunti (18 Apr 2023),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Upgraded polio vaccine being administered. Some mothers complain of ‘serious’ symptoms. Ministry says symptoms, reactions are normal",N/A - Pending Fine-Tuned Model Inference,"Echancho ya polio engikeranu yarurwe Abangina bande bemurunganiri ase ebimanyererio 'ebibe' Ewizara yatebire, ebimanyererio nebia botambe",Health
Marsabit County: Drought Early Warning Bulletin for January 2024,Kaunti ya Marsabit: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Januari 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Uganda safeguards essential health services during Ebola outbreak response,Uganda inalinda huduma muhimu za afya wakati wa kukabiliana na mlipuko wa Ebola,N/A - Pending Fine-Tuned Model Inference,General
"sustaining accidental needle stick injuries, including among health workers.","kupata majeraha ya ajali ya kijiti cha sindano, pamoja na wafanyikazi wa afya.",N/A - Pending Fine-Tuned Model Inference,General
TVETA launches a mobile learning app providing access to tutorials and assessments for TVET students on the go.,N/A - Pending Fine-Tuned Model Inference,Aborai bwekeombe keria ekenene getenerete chikorechi chiobobundi nechisemi chiokwegendereria TVETA lyaansire amasomo goetera egekoreri gieintaneti gekworokereria buan abarimu bakorenga abana namasomo abo ase TVET na kogenderera .,Education
